-1,1,1
-2,2,2
-3,3,3
-4,4,4
-5,5,5
-6,6,6
-7,7,7
-8,8,8
-7,8,9
-8,9,10
-9,10,11
-10,11,12
-11,12,13
-12,13,14
-11,13,15
-12,14,16
-13,15,17
-14,16,18
-15,17,19
-16,18,20
-15,18,21
-16,19,22
-17,20,23
-18,21,24
-19,22,25
-20,23,26
-21,24,27
-22,25,28
-23,26,29
-24,27,30
-25,28,31
-26,29,32
-27,30,33
-28,31,34
-29,32,35
-30,33,36
-31,34,37
-32,35,38
-31,35,39
-30,35,40
-29,35,41
-28,35,42
-27,35,43
-26,35,44
-25,35,45
-24,35,46
-23,35,47
-22,35,48
-21,35,49
-20,35,50
-19,35,51
-18,35,52
-17,35,53
-16,35,54
-15,35,55
-14,35,56
-13,35,57
-12,35,58
-12,34,59
-12,33,60
-12,32,61
-12,31,62
-12,30,63
-13,31,64
-12,31,65
-12,30,66
-11,30,67
-12,31,68
-12,32,69
-12,33,70
-11,33,71
-12,34,71
-12,33,72
-12,32,73
-12,31,74
-12,30,75
-12,29,76
-12,28,77
-13,29,78
-14,30,79
-14,31,80
-13,31,81
-14,32,81
-14,33,82
-14,34,83
-14,35,84
-13,35,85
-14,36,86
-13,36,86
-14,37,87
-15,37,88
-15,36,89
-15,35,90
-15,34,91
-14,34,92
-14,35,93
-15,35,94
-14,35,95
-14,36,96
-13,37,97
-14,37,98
-14,38,99
-13,38,100
-14,38,101
-15,38,102
-15,37,103
-15,36,104
-15,35,105
-16,36,106
-16,35,107
-16,34,108
-17,35,109
-18,36,110
-19,36,111
-18,36,112
-18,37,113
-17,38,113
-16,39,114
-16,38,115
-16,37,116
-17,38,117
-16,39,118
-16,38,119
-16,37,120
-16,36,121
-17,37,122
-18,38,123
-17,39,124
-16,39,125
-17,40,126
-17,39,127
-17,38,128
-18,39,129
-17,39,130
-18,40,131
-18,39,132
-17,39,133
-16,39,134
-15,39,135
-14,39,136
-13,39,137
-12,39,138
0,1,1
-1,2,2
-1,3,3
0,3,4
0,4,5
-1,5,6
-1,6,7
-2,7,8
-3,8,9
-4,9,10
-5,10,11
-6,11,12
-7,12,13
-8,13,14
-9,14,15
-10,15,16
-9,15,17
-8,15,18
-9,16,19
-10,17,20
-11,18,21
-12,19,22
-13,20,23
-14,21,24
-14,22,25
-13,22,26
-14,23,27
-15,24,28
-16,25,29
-17,26,30
-18,27,31
-19,28,32
-20,29,33
-21,30,34
-22,31,35
0,1,1
1,1,2
1,2,3
1,3,4
1,4,5
1,5,6
2,5,7
2,6,8
3,6,9
4,6,10
5,6,11
4,7,12
5,7,13
6,7,14
7,7,15
8,7,16
8,8,17
9,8,18
9,9,19
9,10,20
8,11,21
8,12,22
8,13,23
7,14,24
8,14,25
9,14,26
9,13,27
9,12,28
8,13,29
7,14,30
8,14,31
9,14,32
10,14,33
11,14,34
12,14,35
11,15,36
10,16,37
11,16,38
12,16,39
13,16,40
14,16,41
15,16,42
16,16,43
17,16,44
17,17,45
18,17,46
19,17,47
19,18,48
20,18,49
20,19,50
20,20,51
20,21,52
19,22,53
20,22,54
20,23,55
21,23,56
21,24,57
21,25,58
22,25,59
22,26,60
23,26,61
23,27,62
24,27,63
25,27,64
26,27,65
26,28,66
26,29,67
26,30,68
27,30,69
27,31,70
27,32,71
28,32,72
29,32,73
30,32,74
30,33,75
31,33,76
31,34,77
32,34,78
32,35,79
32,36,80
32,37,81
33,37,82
33,38,83
33,39,84
34,39,85
35,39,86
35,40,87
35,41,88
35,42,89
35,43,90
35,44,91
35,45,92
35,46,93
36,46,94
36,47,95
35,48,96
36,48,97
36,49,97
36,50,98
36,51,99
37,51,100
38,51,101
39,51,102
40,51,103
